uid,smiles,similarity
NPA020188,CCC(C)CCCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C)CC(C)C)C(C)C)CCC(=O)O,0.8194444444444444
NPA021348,C[C@@H]1[C@H]([C@@](C[C@@H](O1)O[C@H]2[C@H]([C@@H]([C@@H](O[C@@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@@H]([C@@H]7C(=O)NC(C8=CC(=CC(=C8C9=C(C=CC(=C9)[C@H](C(=O)N7)NC(=O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]([C@H](C1=CC=C(O4)C=C1)O)NC(=O)[C@H](CC(C)C)N(C)C)CC(=O)N)O)O)O)C(=O)O)O[C@H]1C[C@]([C@@H]([C@H](O1)C)O)(C)N)Cl)CO)O)O)(C)N)O,0.8163265306122449
NPA015464,CC1C(C(CC(O1)O[C@H]2C3C(=O)N[C@@H](C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)[C@H]6C7=CC(=C(C(=C7)OC8=C(C=C(C=C8)[C@H]([C@H](C(=O)N[C@H](C(=O)N6)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)O)OC9=C(C=C2C=C9)Cl)O)O)O)C(=O)O)(C)N)O,0.8161764705882353
NPA010540,CCC(C)[C@H]1C(=O)NC(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)OC(CC(=O)N[C@@H](C(=O)N1)CCC(=O)O)CCCCCCCC(C)C)C(C)CC)CC(C)C)CC(=O)O)C(C)CC)CC(C)C,0.8115942028985508
NPA024605,CNC(CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C4=CC(O)=CC(O)=C4C4=C(O)C=CC3=C4)[C@H](OC3CC(C)(N)C(O)C(C)O3)C3=CC=C(C=C3)OC3=CC2=CC(=C3OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC2=CC=C(C=C2)[C@H]1O,0.8082191780821918
NPA010871,CC1C(C(CC(O1)O[C@H]2C3C(=O)N[C@@H](C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)[C@H]6C7=CC(=C(C(=C7)OC8=C(C=C(C=C8)[C@H]([C@H](C(=O)N[C@H](C(=O)N6)CC(=O)N)NC(=O)[C@@H](CC(C)C)N(C)C)O)Cl)OC9C(C(C(C(O9)CO)O)O)O)OC1=C(C=C2C=C1)Cl)O)O)O)C(=O)O)(C)N)O,0.8
NPA010597,CC1C(=O)[C@@](CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C(C=C8)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)OC9C([C@H](C([C@H](O9)CO)O)O)O)OC1=C(C=C2C=C1)Cl)O)O)O)C(=O)O)(C)N,0.8
NPA013799,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@@H]1C[C@H]([C@H](NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CC(=O)N)O)O)O)O,0.7962962962962963
NPA009706,CC[C@H](C)[C@H]1C(=O)OC(CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)N)CCCCCCCCC(C)C,0.7808219178082192
NPA005248,CC[C@H](C)[C@H]1C(=O)OC(CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)N)CCCCCCCCCC(C)C,0.7808219178082192
